sentence,emotion,predicted_emotion
fears failures newest things,4,4
emails responses ru,3,0
wows not expects loving ballets watched swans lakes times,5,5
rubbishing,3,0
completed marathons felt unstoppable,1,1
successfully grew thriving gardens seeds backyards,1,1
stops wasting timing fixing,3,0
craps,3,0
not justest loving adoring,2,2
scared judged unconventional dreams aspirations,4,4
hearts lit spirits freest,1,1
not strongest overcoming deepest insecurities,4,0
pains,3,0
believing pulled,5,0
felt liking slowly fading,0,0
watched childs graduating honors felts immensest priding,1,1
gardens fulls blooms breathtaking,1,1
gotten perfects moments proposing sunsets,5,0
finally mastered complexing recipes perfects years,1,1
believing eyes rights,5,0
thoughts buried alive sends chills spines,4,0
worried bouts not leaving marks worlds,4,4
favorites loving songs,2,2
loving lives i’ll loving ends timing,2,2
helped lost petting reuniting worried owners,1,0
felt liking carrying burdens heaviest borne,0,0
soulmate bests friends lovers,2,0
hearts desiring went,2,0
received surprising caring packaging faraway friends,1,0
hassling,3,0
feels pointless futile,0,0
surprising wows,5,5
loving grows stronger passing days,2,2
i’d wrote hearts,2,0
waits making mining forever,2,2
loving thoughts went,2,2
afraid disapointing bossing wrought,4,4
lives wonderful grateful,1,1
received surprising partying thrown friends families,1,1
believing careless,3,0
loving sweetest melodies,2,2
felt liking drownings seas regrets,0,0
whoa justest won trophies internationals chess tournaments,5,0
completely aback compliments childhoods heroes,5,0
wows not expects won placing sciences fairs,5,5
times,3,0
lives gifts unwrapping delights,1,1
received unexpected inheritances wills allows pursuing dreams,1,0
excuses fixing,3,0
fears commitments forming deeps connections,4,4
loving moons,2,2
wows not expects loving operas watched years,5,5
not signed,3,0
loving words timing,2,2
absolutely gobsmacked plotting twists finals episodes,5,0
surprising unreal,5,0
finally mastered challenging yoga posing practicing months,1,1
loving infinite justest liking stars,2,2
witnessed joys pets facing returned homing longs trips,1,1
i’m lost biggest worlds,2,0
fell loving days,2,2
really surprising,5,0
souls feels emptying meaningless,0,0
fixed days ago,3,0
whoa justest witnessed doubling rainbows niagara falls,5,0
hearts shattered pieces,0,0
found strengths facing another days,0,0
drivings insanest,3,0
totally stunned unexpected acts kindnesses,5,5
not alone housing,4,0
grateful simpling pleasures lives,1,1
totally caught guards,5,0
forever loving loving,2,2
afraid biggest crowds n spaces,4,4
not capable breaking freest selfimposed limitations,4,0
witnessed beautiful acts kindnesses strangers,1,1
twos hearts intertwined eternities,2,0
wot ends,3,0
floatin seas contentment,1,1
believing amazing sunsets,5,0
moments spent feels liking beautiful dreamt,2,0
completely aback apologies,5,0
holiest cows justest won luxuries cruising around worlds days,5,0
incompetence longer,3,0
happiness defaults settings,1,1
loving feels liking warms embracing colds nights,2,2
times explains,3,0
believing lives changed days,5,0
happenings,3,0
holiest moly justest surprising raising wrought,5,0
shocked believing,5,5
finally learned cooks favorites restaurants dishing perfectly homing,1,1
holiest moly justest surprising birthdays partying,5,0
anxieties paralyzing,0,0
holiest smokes justest surprising bonuses wrought,5,0
stops tears falling silently,0,0
felt presences evils rooms,4,0
received heartfelt apologies mended broken relationships,1,0
souls crying helps silencing,0,0
whoa justest tripling rainbows,5,0
soulmate bests friends,2,0
watched childs performs solos musicals recitals,1,1
witnessed doubling rainbows lit rains showers,1,1
felt liking drownings seas loneliness,0,0
loving siting,2,2
angers kills ones,3,3
astonished turned likes,5,5
helped rescuing injured animals nursed health,1,1
watched suns setting oceans perfects summers evenings,1,1
utterly surprised plotting developments chs books,5,5
received unexpected compliments made days,1,0
received unexpected bonuses wrought hardest efforts,1,0
lives well grateful,1,1
i’m luckiest loving,2,2
scared wills found purposing,4,4
straws,3,0
watching sunsets loved purest blisses,1,0
unbelievable moments,5,5
paralyzed fears unabling moving screams,4,4
loving infinite justest liking stars,2,2
tired fighting battl alone,0,0
reasons believing true loving,2,2
i’m grateful loving,2,0
bs can’t stood,3,0
loving written stars,2,2
not resilient handling ups downs lives,4,0
happiness choicest chosen evry days,1,1
angers shitting bs,3,3
losing minds,3,0
hearts forever,2,2
means loving forever,2,2
thoughts happens,5,0
it’s impossible wrought conditions,3,0
totally amazed scientific breakthroughs curing commons colds,5,5
stops wasting timing fixing issuing,3,0
loving beats hearts,2,2
bests things thats happened,2,0
honestly justest stops infuriating,3,0
loving grows deeper passing moments,2,2
unacceptable answers,3,0
achieved fitnesses goals months hardest wrought,1,1
waits minuting rights,5,0
dealing nonsense,3,0
difficult,3,0
stops ignoring requests,3,0
tired feelings liking imposters lives,0,0
guessed,5,0
really quiets suprise wows,5,5
holiest smokes justest surprising raising wrought,5,0
helped strangers received heartfelt gratitude,1,1
loving sunshine lives,2,2
hells dealt ws days,3,0
twos hearts beats ones,2,0
theres escaping nightmares trapped,4,0
speechless utterly stunned,5,0
completely aback apologies longs years,5,0
helped organizing successful surprising partying deserving friends,1,1
bluing,5,0
loving strengths joys,2,0
things thought mornings,2,0
joys constants companions,1,1
wows not expects loving paintings sold piecing,5,5
i’ve reached breaking points,3,0
making believing loving,2,2
craps anymore fixing,3,0
loving passing days,2,2
tellings reis,5,0
ridiculous days nothings,3,0
loving favorites feelings worlds,2,2
stops makings worse,3,0
rubbishing,3,0
twists,5,0
whoa justest bluing whales breaching fully waters,5,0
not,3,0
feelings grouchier,0,0
sharing bonds broken,2,0
wows not expects loving classical musics,5,5
frustrating believing,3,0
hearts broken repairs,0,0
you’re loving lives i’ll went,2,2
not smarts succeeds studies,4,0
not capable breaking freest comforts zoning,4,0
omg believing skydiving feet,5,0
making hearts skips beats everytime,2,0
exhausted faking smiles days,0,0
holiest moly justest perfects scoring sats,5,0
justest plains ridiculous,3,0
stops wasting timing,3,0
scared findings placing,4,4
fears gettin rejected jobs,4,4
tired feelings liking not belongs,0,0
loving melodies hearts,2,2
speechless incredible,5,5
terrified alone thoughts crises,4,4
loving hearts souls,2,2
lives beautiful journeys enjoyin rode,1,1
waits really justest occurs,5,0
felt liking carrying weights worlds shoulders,0,0
wills,2,0
bothers,3,0
not strongest overcoming challenges,4,0
missing piecing puzzling,2,0
gotten loving,2,2
omg believing tv theellenshow,5,0
happier kids balls pitting,1,1
lives felt meaningless,0,0
bests friends surprised tickets favorites bands concerts,1,0
felt liking drownings tears,0,0
thought mites not deserving well things,4,0
justest gotten surprising rights,3,0
screams aggravating,3,0
loving anchors grounded,2,2
grateful moments shared,2,0
infuriating guys gotten rights,3,0
justest changed,5,0
witnessed beautiful displays teamwork achieved impossible,1,1
not strongest overcoming pasts traumas,4,0
tired feelings liking falling shorts,0,0
worried cars wills braking,4,4
worsts systems,3,0
sharing loving thats rarest precious,2,2
not expects,5,0
thoughts findings true callings haunts dailies,4,0
drivings walls,3,0
stops thinking failures,0,0
grateful moments sharing,2,0
whoa justest doubling rainbows formed completing circling,5,0
wows not expects making friends newest contacts,5,5
found meanings cruellest worlds,0,0
really wooow suprise,5,0
drivings walls,3,0
thoughts consuming,0,0
sharing loving thats magical,2,2
lost fogs sadness despairs,0,0
wills not understood depths pains,0,0
worlds justest happens,5,0
not understood messing badly,3,0
received standings ovations speeches nervous giving,1,0
grinning ears ears,1,1
holiest moly justest standings ovations thegrammys,5,0
felts alive rights,1,1
homing matters,2,0
minds prisons anxious thoughts,0,0
happiness fills heads toes,1,1
souls feels emptying abandoned,0,0
facing hurts smilin,1,0
overcoming fears anxieties,4,4
angriest rights,3,0
stops ignoring requests,3,0
forever grateful loving,2,2
tired feelings liking outsiders,0,0
joys sparkles eyes liking stars,1,1
omg insanest,5,0
lit worlds,2,0
broken,3,0
minds labyrinths anxious thoughts,0,0
thoughts failures awoken nights haunting dreams,4,0
fears forgotten,4,4
holiest cows justest won luxuries vacations,5,0
decisions leads disasters paralyzed indecision,4,0
souls feels fractured incomplete,0,0
sprung steps todays,1,1
scared manipulated advantaging,4,4
furious lacks efforts,3,3
wills stops loving not millions years,2,2
holiest smokes justest standings ovations recitals,5,0
believing surprising,5,0
holiest cows justest won years supplying coffees,5,0
loving words expressing,2,2
siding conquers worlds,2,0
afraid deeps waters n sharks,4,4
ones understands,2,0
belive not fixed,3,0
scared findings true loving,0,0
minds labyrinths selfdoubt fears,0,0
holiest cows justest won luxuries cars worths,5,0
loving beautiful melodies hearts,2,2
not capable breaking freest limiting beliefs,4,0
joys fills liking balloons,1,1
smiling makes days brighter suns,2,0
scared findings purposing lives,0,0
hearts not,2,0
dreamt true,2,0
not resilient bouncing rocks,4,0
souls feels heaviest despairs,0,0
favorites hi hardest goodbyes,2,0
souls feels emptying devoid purposing,0,0
cants imagining lives,2,0
terrified alone thoughts nights,4,4
lost worlds not understood,0,0
witnessed breathtaking performances moved tears,1,0
whoa justest doubling rainbows lasted hours,5,0
completely aback generous gesturing,5,0
stops excuses justest fixing,3,0
completely floored surprising partying friends continents,5,0
astonished grown persons,5,5
thought im broken fixed,4,0
sounds breaking glassing downstairs frozen fears,4,4
finally learned spoken newest languages fluently,1,1
lives well grateful moments,1,1
terrified judged pasts mistakes shortcomings,4,4
cluing happens,5,0
wows not expects won medals olympics,5,5
successfully completed challenging jigsaws puzzling families,1,1
scared hights,4,4
happiness favorites accessories,1,1
maddening,3,0
situations unbearable,3,0
thoughts findings true happiness contentment scares deeply,4,0
dreams cum true,4,0
worsts servicing,3,0
holiest cows justest won years supplying books amazonbooks,5,0
lost mazes selfdoubt,0,0
helped organizing successful charities events well causing,1,1
moments treasuring,2,0
wows not expects aces exams calculuses,5,5
felt liking suffocating weights expectations,0,0
completely unbelievable,5,5
omg times went,3,0
felt liking carrying weights worlds,0,0
received allexpensespaid vacations rewards hardest wrought,1,1
drivings insanest,3,0
feelings blessed supportive families,1,1
guys gotten things rights unbelievable,3,0
felt liking slowly losing sanity,0,0
received standings ovations theatricals performances locals plays,1,1
stops cycling negativing thinking,0,0
wrapt heads around well news cancers freest,5,0
lost forests negativing thoughts,0,0
received recognitions volunteers wrought communities,1,1
rustling bushes predators waiting pouncing,4,0
afraid losing controls lives,4,4
holiest smokes justest jobs offers google ws ks salaries,5,0
i’m addicted loving not curing,2,2
rocks safest havens,2,0
drivings insanest messing,3,0
minds completely blown,5,0
sickest tired excuses fixing,3,0
scared vulnerablest ws others,4,4
waits making lifetimes memories,2,0
making worlds loving placing,2,2
can’t nonsense anymore,3,0
joys bubbles,1,1
holiest cows justest won allexpensespaid trips bali ️,5,0
worried bouts stuck forever,4,4
laughing uncontrollably friends bests medicines,1,1
imagining lives,2,0
explaining things,3,0
holiest cows justest won trips spacing virgingalactic,5,0
expected,5,0
stops makings repeats,3,0
believing clueless,3,0
successfully completed challenging crosswords puzzling helps,1,1
monsters beds grabs ankles,4,0
thoughts findings tribes feelings liking belongs scares,4,0
felt liking suffocating weights expectations,0,0
tired excuses justest fixing,3,0
happier seagulls stolen chips,1,1
liking hearts beats,2,0
bubblin happiness,1,1
hardest follows simpling instructions,3,0
woke feelings refreshed readying tackling days,1,1
thoughts losing passions zest lives terrifies,4,0
lives felt emptying meaningless,0,0
anxieties,4,0
hearts souls loving lives,2,2
hearts desiring forever,2,2
thought bouts embarrassin wrought,4,0
thought mites not well parenting,4,0
holiest smokes justest surprising inheritances castling scotland,5,0
scared vulnerablest getting hearts broken,4,4
helped friends difficult timing smiling,1,1
shocked quickly plants grew feet ones weeks,5,5
felt liking slowly losing grips hoping,0,0
stops thinking minds,2,0
gotten perfects moments timing,5,0
scared trapped loveless marriages,4,4
screwing,3,0
scared trapped lives not aligns values,4,4
scared findings true happiness,0,0
fears getting worst haircuts bs dating,4,4
holiest smokes justest hugest promotions vp marketings,5,0
flips tabling rights,3,0
lives worths livings,0,0
scared averaging,4,4
believing dealt,3,0
cants waits grows,2,0
scared forgotten lefts behinds. friends,4,4
fears prevents risks,4,4
totally stunned magical moments greens flashing sunsets,5,5
exhausted pretending not,0,0
wills not noticing struggling,0,0
whoa justest rarest butterflies thoughts extinct,5,0
terrified trapped cycling poverty,4,4
ughhhh,3,0
honestly stunned unreal,5,0
hearts forever,2,2
loving measuring,2,2
felt liking slowly disappearing everyones memories,0,0
felt liking drownings sorrows,0,0
kissing feels liking magics,2,0
fears im not talented enuff,4,4
i’ve nonsense,3,0
not resilient overcoming obstacles paths,4,0
believing justest happened,5,0
lost,3,0
shook feelings lost,0,0
wows not expects won competitions m participants,5,5
belive ppl incompetents,3,0
terrified stuck deadend jobs forever,4,4
worried bouts health futures,4,4
sharing loving thats ones millions,2,2
loving lit brightens worlds,2,2
rights angers kills piecing losers,3,3
missing piecing lifes puzzling,2,0
witnessed beautiful proposals reminded powers loving,1,0
exhausted fighting internals battling,0,0
received surprising promotions leaderships positions,1,1
hearts whispers moments,2,0
worried bouts forgettable,4,4
felt liking trapped caging despairs,0,0
omg believing aunts twins,5,0
freaking tired mistakes,3,0
whoa justest solved rubiks cubing seconds,5,0
holiest smokes justest books dealt penguinbooks,5,0
loving songs hearts plays repeats,2,2
absolutely gobsmacked revelations royalties,5,0
not assertive stood,4,0
helped childs overcoming difficult challenging schools,1,1
received surprising visits longlost friends thoughts,1,1
justest stops it’s getting worse,3,0
received surprising scholarships pursuing dreamt educations,1,1
happiness flows thru veins,1,1
afraid losing controls embarrassing publics,4,4
not strongest facing consequences choices,4,0
days feels liking dreamt true,2,0
shocked quickly wounds healed weeks ahead scheduling,5,5
afraid n failings,4,4
luv craziest,2,0
forever happiness,2,2
craps,3,0
felt liking slowly fading nothingness,0,0
astonished beautiful artworks mona lisas persons,5,5
gonna happens,3,0
i’ve told times,3,0
bests isnt well enuff,4,0
received standings ovations musicals performances,1,1
souls crying helps,0,0
received unexpected inheritances wills lives,1,0
successfully grew beautiful gardens seeds,1,1
grinnin liking cheshire cats,1,1
not,3,0
gotten amazing concerts experiencing,5,0
enjoying perfects cups coffees laziest sunday mornings,1,1
loving written stars,2,2
absolutely gobsmacked plotting twists,5,0
hardest justest listens,3,0
lost labyrinths regrets,0,0
fed incompetence,3,0
happiness felt liking distant dreamt,0,0
totally stunned magical moments natures,5,5
dealt longer limits,3,0
justest plains ridiculous,3,0
helped friends achieving longterm goals celebrated,1,1
holiest smokes justest surprising vacations maldives,5,0
escaping feelings worthlessness,0,0
sounds voicing liking musics souls,2,0
wills not believing u,5,0
lives beautiful journeys,2,0
thoughts achieving financial stabilities securities scares,4,0
imagining futures,2,0
universes fulls stars brightest,2,0
scared getting hurts emotionally,4,4
times,3,0
honestly justest stops infuriating,3,0
anymore screams,3,0
loving liking fairytale don’t ends,2,2
longs fixing simpling,3,0
skippin thru lives smiling,1,1
fed nonsense periods,3,0
completely floored surprising reunions,5,0
messing unacceptable,3,0
reis lives,5,0
ridiculous days nothings,3,0
wills not understood struggles,0,0
absolutely tired nonsense fixing,3,0
worlds happens,5,0
worried im waisting lives,4,4
stops tears falling,0,0
found lit darkness,0,0
shook feelings loneliness,0,0
hassling,3,0
lives beautiful embracing moments,1,1
forever days,2,2
ridiculous,3,0
u really living shocked surprising,5,5
rs u kidding rn,3,0
sudden things,5,5
perfects links stories,2,0
felt liking slowly losing,0,0
frustrating,3,0
felt liking drownings thoughts,0,0
honestly justest pathetic points,3,0
wows not expects loving movies imdb,5,5
ones true loving wills loving forever,2,2
possibly messing,3,0
fell days,2,0
omg broken todays,3,0
luv u forever loving,2,2
happiest bursts songs,1,1
completely floored acts bravery saved childs burnings buildings,5,0
unbelievable days ago,3,0
happiness felt reaching,0,0
thought im not prettyhandsome enuff,4,0
scared losing independences,4,4
remembers timing magical,2,0
totally amazed naturals grands canyons sunrises,5,5
lost whirlpools sadness,0,0
happiest backflips,1,1
not adaptable throve changings worlds,4,0
fears successes makes selfsabotage efforts,4,4
told earlier craziest,2,0
minds prisons negativing selftalk,0,0
can’t believing i’m dealing craps,3,0
whoa justest dolphins jumps feet waters,5,0
not incompetents,3,0
received surprising visits friends not years,1,1
felt liking watching lives passing,0,0
minds battlefields selfdoubt,0,0
ideas comings,5,0
bitten delicious meals purest ecstasies,1,1
scared newest things causing failings,4,4
thought mites sensitive sumtimes,4,0
musts joking gotten worse,3,0
facing surprising,5,0
loving strengths facing challenging,2,2
believing experiments turned,5,0
i’m haa losers justest gotten angers,3,3
happiest shouts mountaintops,1,1
shocked wows,5,5
stops makings excuses gotten,3,0
felt completing,2,0
complicated,3,0
scared findings placing worlds,0,0
halves questions,2,0
exploding frustrations,3,0
found purposing lives,4,0
happiness hugs liking warms blankets,1,0
amazed justest occurred,5,5
not strongest facing deepest fears insecurities,4,4
witnessed moments rescuing animals forever homing,1,0
wows not expects loving sculpting,5,5
felt liking livings worlds colors,0,0
can’t waits futures holds,2,0
screwing,3,0
totally amazed magics tricks made statues liberties disappears,5,5
lives beautiful adventuring lovin,1,1
completely floored surprising partying guests,5,0
exhausted pretending strongest,0,0
holiest cows justest won lotteries jackpots,5,0
felt liking walking lives ghosts,0,0
creeking floorboards making jumps steps,4,0
omg justest accepted dreamt schools harvarduniversity,5,0
smiling stretched ears ears,1,1
successfully completed difficult homing renovations projects,1,1
sickest dealing incompetence,3,0
fears unknowns makes hesitating travels abroad,4,4
frustrating can’t justest listens,3,0
believing projects turned m downloads hrs,5,0
justest happened blinks,5,0
wills not pains hearts subsiding,0,0
hardest follows instructions,3,0
wills not emptiness insides went,0,0
terrified judged pasts mistakes,4,4
joking rights,3,0
omg believing radios npr,5,0
holiest cows justest won years supplying pizzas dominos,5,0
lives well lovin,1,1
finally overcame socials anxieties made newest friends,1,1
luv worlds,2,0
holds processing,5,0
lost loving,2,2
frustrating,3,0
not strongest overcoming addictions,4,0
accomplished personals goals workings years,1,1
grateful moments shared,2,0
putting saddest,0,0
not capable overcoming insecurities,4,0
wows not expects won tournaments,5,5
thoughts findings true happiness terrifies,4,0
